Pixel	Wavelength	
189.0	425.790086708	
190.0	426.019771814	
191.0	426.249456222	
192.0	426.479139931	
193.0	426.708822943	
194.0	426.938505257	
195.0	427.168186873	
196.0	427.397867791	
197.0	427.627548011	
198.0	427.857227533	
199.0	428.086906357	
200.0	428.316584482	
201.0	428.54626191	
202.0	428.77593864	
203.0	429.005614672	
204.0	429.235290006	
205.0	429.464964642	
206.0	429.694638581	
207.0	429.924311821	
208.0	430.153984363	
209.0	430.383656207	
210.0	430.613327353	
211.0	430.842997801	
212.0	431.072667551	
213.0	431.302336604	
214.0	431.532004958	
215.0	431.761672614	
216.0	431.991339572	
217.0	432.221005833	
218.0	432.450671395	
219.0	432.680336259	
220.0	432.910000426	
221.0	433.139663894	
222.0	433.369326664	
223.0	433.598988737	
224.0	433.828650111	
225.0	434.058310788	
226.0	434.287970766	
227.0	434.517630047	
228.0	434.747288629	
229.0	434.976946514	
230.0	435.2066037	
231.0	435.436260189	
232.0	435.665915979	
233.0	435.895571072	
234.0	436.125225466	
235.0	436.354879163	
236.0	436.584532162	
237.0	436.814184462	
238.0	437.043836065	
239.0	437.27348697	
240.0	437.503137177	
241.0	437.732786685	
242.0	437.962435496	
243.0	438.192083609	
244.0	438.421731024	
245.0	438.651377741	
246.0	438.881023759	
247.0	439.11066908	
248.0	439.340313703	
249.0	439.569957628	
250.0	439.799600855	
251.0	440.029243384	
252.0	440.258885215	
253.0	440.488526348	
254.0	440.718166783	
255.0	440.94780652	
256.0	441.177445559	
257.0	441.4070839	
258.0	441.636721543	
259.0	441.866358488	
260.0	442.095994736	
261.0	442.325630285	
262.0	442.555265136	
263.0	442.784899289	
264.0	443.014532744	
265.0	443.244165502	
266.0	443.473797561	
267.0	443.703428922	
268.0	443.933059585	
269.0	444.162689551	
270.0	444.392318818	
271.0	444.621947387	
272.0	444.851575259	
273.0	445.081202432	
274.0	445.310828908	
275.0	445.540454685	
276.0	445.770079764	
277.0	445.999704146	
278.0	446.229327829	
279.0	446.458950815	
280.0	446.688573102	
281.0	446.918194692	
282.0	447.147815584	
283.0	447.377435777	
284.0	447.607055273	
285.0	447.83667407	
286.0	448.06629217	
287.0	448.295909572	
288.0	448.525526275	
289.0	448.755142281	
290.0	448.984757589	
291.0	449.214372199	
292.0	449.44398611	
293.0	449.673599324	
294.0	449.90321184	
295.0	450.132823658	
296.0	450.362434778	
297.0	450.5920452	
298.0	450.821654924	
299.0	451.051263949	
300.0	451.280872277	
301.0	451.510479907	
302.0	451.740086839	
303.0	451.969693073	
304.0	452.199298609	
305.0	452.428903447	
306.0	452.658507587	
307.0	452.888111029	
308.0	453.117713774	
309.0	453.34731582	
310.0	453.576917168	
311.0	453.806517818	
312.0	454.03611777	
313.0	454.265717024	
314.0	454.495315581	
315.0	454.724913439	
316.0	454.954510599	
317.0	455.184107061	
