230,206	1,37
230,343	0,1
237,832	7,4
238	0,27
253,6521	304000
265,204	160
265,369	72
265,513	42
275,278	62
280	35,1
280,346	29,3
280,443	4,9
280,534	0,4
280,677	0,49
289,3601	162
292,541	9,5
296,7283	2564
302,1504	283
302,347	47
302,561	4,6
302,749	8,2
312,5674	2829
313,1555	1939
313,1844	2823
334,1484	160
365,0158	5338
365,4842	971
366,2887	112
366,3284	654
404,6565	4354
407,7837	269
433,922	12,9
434,7506	34,1
435,8335	10000
546,075	9995
576,961	1071
579,067	1146
