#SUAP-PRFv1
#TYPE:X
#DATA
0	85519
1	73882
2	74048
3	74183
4	74485
5	74265
6	74178
7	74430
8	74377
9	74398
10	74657
11	74592
12	74540
13	74858
14	74578
15	74727
16	74873
17	74762
18	74673
19	75003
20	74835
21	74857
22	75071
23	75013
24	75008
25	75096
26	75013
27	75095
28	75170
29	75346
30	75284
31	75242
32	75350
33	75555
34	75661
35	75747
36	75761
37	75730
38	75677
39	75686
40	75570
41	75680
42	75605
43	75678
44	75744
45	75823
46	75701
47	75788
48	75825
49	75944
50	75805
51	75979
52	76011
53	75882
54	75990
55	75990
56	75979
57	75987
58	76041
59	76022
60	76143
61	76178
62	76149
63	76211
64	76234
65	76264
66	76344
67	76261
68	76295
69	76343
70	76327
71	76173
72	76274
73	76344
74	76395
75	76557
76	76470
77	76318
78	76432
79	76480
80	76219
81	76538
82	76457
83	76373
84	76577
85	76605
86	76693
87	76930
88	76954
89	77277
90	77858
91	78842
92	84104
93	124028
94	233724
95	423570
96	643375
97	746393
98	714443
99	457325
100	198516
101	96637
102	80131
103	78455
104	78108
105	78268
106	78677
107	81564
108	88525
109	99951
110	110005
111	111645
112	105760
113	89448
114	79601
115	76880
116	76317
117	76215
118	76161
119	76059
120	76002
121	76036
122	76033
123	75898
124	75919
125	75869
126	75611
127	75700
128	75594
129	75477
130	75556
131	75523
132	75448
133	75436
134	75337
135	75333
136	75315
137	75251
138	75146
139	75214
140	75124
141	75067
142	75045
143	74901
144	74837
145	74859
146	74854
147	74772
148	74799
149	74694
150	74636
151	74588
152	74595
153	74507
154	74311
155	74430
156	74234
157	74213
158	74205
159	74200
160	74195
161	74175
162	74079
163	73959
164	74005
165	73897
166	73854
167	73696
168	73764
169	73695
170	73676
171	73585
172	73501
173	73548
174	73470
175	73381
176	73390
177	73232
178	73199
179	73188
180	73209
181	73044
182	73060
183	72991
184	72959
185	72824
186	72855
187	72854
188	72772
189	72834
190	72651
191	72617
192	72632
193	72547
194	72352
195	72555
196	72431
197	72323
198	72368
199	72331
200	72239
201	72255
202	72229
203	72099
204	72104
205	72027
206	72001
207	72033
208	71989
209	71905
210	71889
211	71878
212	71866
213	71877
214	71848
215	71761
216	71806
217	71890
218	71881
219	72107
220	72178
221	72592
222	73304
223	74315
224	75290
225	76835
226	79516
227	84071
228	102293
229	219118
230	572044
231	1.19028e+006
232	1.69857e+006
233	1.726e+006
234	1.53611e+006
235	862456
236	302352
237	105401
238	79161
239	76229
240	75197
241	75269
242	75123
243	74420
244	73489
245	72359
246	72136
247	72228
248	72252
249	71858
250	71551
251	71505
252	71408
253	71320
254	70909
255	70621
256	70661
257	70435
258	70473
259	70467
260	70335
261	70268
262	70330
263	70117
264	70094
265	70124
266	70179
267	70124
268	70047
269	70051
270	69975
271	69916
272	69950
273	69844
274	69905
275	69805
276	69816
277	69715
278	69743
279	69741
280	69643
281	69617
282	69619
283	69601
284	69661
285	69685
286	69594
287	69646
288	69629
289	69438
290	69449
291	69502
292	69410
293	69448
294	69387
295	69366
296	69408
297	69399
298	69361
299	69328
300	69276
301	69261
302	69343
303	69270
304	69273
305	69357
306	69312
307	69245
308	69227
309	69195
310	69174
311	69215
312	69247
313	69265
314	69069
315	69175
316	69168
317	69048
318	69094
319	69153
320	69016
321	69174
322	69043
323	69004
324	69017
325	68991
326	69013
327	69103
328	69020
329	68893
330	68978
331	68898
332	68878
333	69013
334	68938
335	68900
336	68940
337	68839
338	68826
339	68902
340	68883
341	68811
342	68877
343	68820
344	68793
345	68813
346	68838
347	68770
348	68837
349	68769
350	68744
351	68755
352	68814
353	68712
354	68718
355	68809
356	68692
357	68613
358	68713
359	68693
360	68608
361	68674
362	68622
363	68571
364	68691
365	68611
366	68543
367	68646
368	68674
369	68537
370	68633
371	68583
372	68578
373	68593
374	68586
375	68506
376	68498
377	68458
378	68495
379	68503
380	68525
381	68564
382	68548
383	68492
384	68469
385	68480
386	68433
387	68476
388	68501
389	68375
390	68402
391	68465
392	68466
393	68352
394	68368
395	68384
396	68377
397	68392
398	68449
399	68448
400	68346
401	68421
402	68376
403	68328
404	68437
405	68333
406	68331
407	68461
408	68423
409	68202
410	68401
411	68356
412	68241
413	68341
414	68320
415	68345
416	68312
417	68392
418	68265
419	68310
420	68175
421	68281
